0~15 layer, bitwiseAnd_17 bit : coffee_mug (77.58%) cup (8.73%) coffeepot (3.22%)
0~16 layer, bitwiseAnd_17 bit : coffee_mug (77.37%) cup (8.76%) coffeepot (3.25%)
0~17 layer, bitwiseAnd_17 bit : coffee_mug (77.05%) cup (8.82%) coffeepot (3.30%)
0~18 layer, bitwiseAnd_16 bit : coffee_mug (76.88%) cup (8.86%) coffeepot (3.32%)

0~0 layer, bitwiseAnd_21 bit : coffee_mug (89.57%) cup (5.87%) coffeepot (1.57%)
0~1 layer, fix8 bit : coffee_mug (87.53%) cup (6.49%) coffeepot (1.72%)
0~2 layer, bitwiseAnd_17 bit : coffee_mug (87.46%) cup (6.51%) coffeepot (1.73%)
0~3 layer, fix8 bit : coffee_mug (86.22%) cup (6.49%) pitcher (1.90%)
0~4 layer, bitwiseAnd_17 bit : coffee_mug (86.15%) cup (6.50%) pitcher (1.91%)
0~5 layer, fix8 bit : coffee_mug (80.90%) cup (7.64%) coffeepot (1.65%)
0~6 layer, bitwiseAnd_17 bit : coffee_mug (80.81%) cup (7.63%) coffeepot (1.65%)
0~7 layer, bitwiseAnd_17 bit : coffee_mug (80.70%) cup (7.64%) coffeepot (1.66%)
0~8 layer, bitwiseAnd_17 bit : coffee_mug (80.59%) cup (7.64%) coffeepot (1.66%)
0~9 layer, bitwiseAnd_17 bit : coffee_mug (80.48%) cup (7.65%) coffeepot (1.67%)
0~10 layer, bitwiseAnd_17 bit : coffee_mug (80.33%) cup (7.66%) coffeepot (1.68%)
0~11 layer, bitwiseAnd_17 bit : coffee_mug (80.23%) cup (7.66%) coffeepot (1.68%)
0~12 layer, bitwiseAnd_17 bit : coffee_mug (80.09%) cup (7.66%) coffeepot (1.68%)
